image_id,video_id,sequence,split
0-1851,0,59337,train
0-1852,0,59337,train
0-1853,0,59337,train
0-1854,0,59337,train
0-1855,0,59337,train
0-1856,0,59337,train
0-1857,0,59337,train
0-1858,0,59337,train
0-1859,0,59337,train
0-1860,0,59337,train
0-1861,0,59337,train
0-1862,0,59337,train
0-1863,0,59337,train
0-1864,0,59337,train
0-1865,0,59337,train
0-1866,0,59337,train
0-1867,0,59337,train
0-1868,0,59337,train
0-1869,0,59337,train
0-1870,0,59337,train
0-1871,0,59337,train
0-1872,0,59337,train
0-1873,0,59337,train
0-1874,0,59337,train
0-1875,0,59337,train
0-1876,0,59337,train
0-1877,0,59337,train
0-1878,0,59337,train
0-1879,0,59337,train
0-1880,0,59337,train
0-1881,0,59337,train
0-1882,0,59337,train
0-1883,0,59337,train
0-1884,0,59337,train
0-1885,0,59337,train
0-1886,0,59337,train
0-1887,0,59337,train
0-1888,0,59337,train
0-1889,0,59337,train
0-1890,0,59337,train
0-1891,0,59337,train
0-1892,0,59337,train
0-1893,0,59337,train
0-1894,0,59337,train
0-1895,0,59337,train
0-1896,0,59337,train
0-1897,0,59337,train
0-1898,0,59337,train
0-1899,0,59337,train
0-1900,0,59337,train
0-1901,0,59337,train
0-1902,0,59337,train
0-1903,0,59337,train
0-1904,0,59337,train
0-1905,0,59337,train
0-1906,0,59337,train
0-1907,0,59337,train
0-1908,0,59337,train
0-1909,0,59337,train
0-1910,0,59337,train
0-1911,0,59337,train
0-1912,0,59337,train
0-1913,0,59337,train
0-1914,0,59337,train
0-1915,0,59337,train
0-1916,0,59337,train
0-1917,0,59337,train
0-1918,0,59337,train
0-1919,0,59337,train
0-1920,0,59337,train
0-1921,0,59337,train
0-1922,0,59337,train
0-1923,0,59337,train
0-1924,0,59337,train
0-1925,0,59337,train
0-1926,0,59337,train
0-1927,0,59337,train
0-1928,0,59337,train
0-1929,0,59337,train
0-1930,0,59337,train
0-1931,0,59337,train
0-1932,0,59337,train
0-1933,0,59337,train
0-1934,0,59337,train
0-1935,0,59337,train
0-1936,0,59337,train
0-1937,0,59337,train
0-1938,0,59337,train
0-1939,0,59337,train
0-1940,0,59337,train
0-1941,0,59337,train
0-1942,0,59337,train
0-1943,0,59337,train
0-1944,0,59337,train
0-1945,0,59337,train
0-1946,0,59337,train
0-1947,0,59337,train
0-1948,0,59337,train
0-1949,0,59337,train
0-1950,0,59337,train
0-1951,0,59337,train
0-1952,0,59337,train
0-1953,0,59337,train
0-1954,0,59337,train
0-1955,0,59337,train
0-1956,0,59337,train
0-1957,0,59337,train
0-1958,0,59337,train
0-1959,0,59337,train
0-1960,0,59337,train
0-1961,0,59337,train
0-1962,0,59337,train
0-1963,0,59337,train
0-1964,0,59337,train
0-1965,0,59337,train
0-1966,0,59337,train
0-1967,0,59337,train
0-1968,0,59337,train
0-1969,0,59337,train
0-1970,0,59337,train
0-1971,0,59337,train
0-1972,0,59337,train
0-1973,0,59337,train
0-1974,0,59337,train
0-1975,0,59337,train
0-1976,0,59337,train
0-1977,0,59337,train
0-1978,0,59337,train
0-1979,0,59337,train
0-1980,0,59337,train
0-1981,0,59337,train
0-1982,0,59337,train
0-1983,0,59337,train
0-1984,0,59337,train
0-1985,0,59337,train
0-1986,0,59337,train
0-1987,0,59337,train
0-1988,0,59337,train
0-1989,0,59337,train
0-1990,0,59337,train
0-1991,0,59337,train
0-1992,0,59337,train
0-1993,0,59337,train
0-1994,0,59337,train
0-1995,0,59337,train
0-1996,0,59337,train
0-1997,0,59337,train
0-1998,0,59337,train
0-1999,0,59337,train
0-2000,0,59337,train
0-2001,0,59337,train
0-2002,0,59337,train
0-2003,0,59337,train
0-2004,0,59337,train
0-2005,0,59337,train
0-2006,0,59337,train
0-2007,0,59337,train
0-2008,0,59337,train
0-2009,0,59337,train
0-2010,0,59337,train
0-2011,0,59337,train
0-2012,0,59337,train
0-2013,0,59337,train
0-2014,0,59337,train
0-2015,0,59337,train
0-2016,0,59337,train
0-2017,0,59337,train
0-2018,0,59337,train
0-2019,0,59337,train
0-2020,0,59337,train
0-2021,0,59337,train
0-2022,0,59337,train
0-2023,0,59337,train
0-2024,0,59337,train
0-2025,0,59337,train
0-2026,0,59337,train
0-2027,0,59337,train
0-2028,0,59337,train
0-2029,0,59337,train
0-2030,0,59337,train
0-2031,0,59337,train
0-2032,0,59337,train
0-2033,0,59337,train
0-2034,0,59337,train
0-2035,0,59337,train
0-2036,0,59337,train
0-2037,0,59337,train
0-2038,0,59337,train
0-2039,0,59337,train
0-2040,0,59337,train
0-2041,0,59337,train
0-2042,0,59337,train
0-2043,0,59337,train
0-2044,0,59337,train
0-2045,0,59337,train
0-2046,0,59337,train
0-2047,0,59337,train
0-2048,0,59337,train
0-2049,0,59337,train
0-2050,0,59337,train
0-2051,0,59337,train
0-2052,0,59337,train
0-2053,0,59337,train
0-2054,0,59337,train
0-2055,0,59337,train
0-2056,0,59337,train
0-2057,0,59337,train
0-2058,0,59337,train
0-2059,0,59337,train
0-2060,0,59337,train
0-2061,0,59337,train
0-2062,0,59337,train
0-2063,0,59337,train
0-2064,0,59337,train
0-2065,0,59337,train
0-2066,0,59337,train
0-2067,0,59337,train
0-2068,0,59337,train
0-2069,0,59337,train
0-2070,0,59337,train
0-2071,0,59337,train
0-2072,0,59337,train
0-2073,0,59337,train
0-2074,0,59337,train
0-2075,0,59337,train
0-2076,0,59337,train
0-2077,0,59337,train
0-2078,0,59337,train
0-2079,0,59337,train
0-2080,0,59337,train
0-2081,0,59337,train
0-2082,0,59337,train
0-2083,0,59337,train
0-2084,0,59337,train
0-2085,0,59337,train
0-2086,0,59337,train
0-2087,0,59337,train
0-2088,0,59337,train
0-2089,0,59337,train
0-2090,0,59337,train
0-2091,0,59337,train
0-2092,0,59337,train
0-2093,0,59337,train
0-2094,0,59337,train
0-2095,0,59337,train
0-2096,0,59337,train
0-2097,0,59337,train
0-2098,0,59337,train
0-2099,0,59337,train
0-2100,0,59337,train
0-2101,0,59337,train
0-2102,0,59337,train
0-2103,0,59337,train
0-2104,0,59337,train
0-2105,0,59337,train
0-2106,0,59337,train
0-2107,0,59337,train
0-2108,0,59337,train
0-2109,0,59337,train
0-2110,0,59337,train
0-2111,0,59337,train
0-2112,0,59337,train
0-2113,0,59337,train
0-2114,0,59337,train
0-2115,0,59337,train
0-2116,0,59337,train
0-2117,0,59337,train
0-2118,0,59337,train
0-2119,0,59337,train
0-2120,0,59337,train
0-2121,0,59337,train
0-2122,0,59337,train
0-2123,0,59337,train
0-2124,0,59337,train
0-2125,0,59337,train
0-2126,0,59337,train
0-2127,0,59337,train
0-2128,0,59337,train
0-2129,0,59337,train
0-2130,0,59337,train
0-2131,0,59337,train
0-2132,0,59337,train
0-2133,0,59337,train
0-2134,0,59337,train
0-2135,0,59337,train
0-2136,0,59337,train
0-2137,0,59337,train
0-2138,0,59337,train
0-2139,0,59337,train
0-2140,0,59337,train
0-2141,0,59337,train
0-2142,0,59337,train
0-2143,0,59337,train
0-2144,0,59337,train
0-2145,0,59337,train
0-2146,0,59337,train
0-2147,0,59337,train
0-2148,0,59337,train
0-2149,0,59337,train
0-2150,0,59337,train
0-2151,0,59337,train
0-2152,0,59337,train
0-2153,0,59337,train
0-2154,0,59337,train
0-2155,0,59337,train
0-2156,0,59337,train
0-2157,0,59337,train
0-2158,0,59337,train
0-2159,0,59337,train
0-2160,0,59337,train
0-2161,0,59337,train
0-2162,0,59337,train
0-2163,0,59337,train
0-2164,0,59337,train
0-2165,0,59337,train
0-2166,0,59337,train
0-2167,0,59337,train
0-2168,0,59337,train
0-2169,0,59337,train
0-2170,0,59337,train
0-2171,0,59337,train
0-2172,0,59337,train
0-2173,0,59337,train
0-2174,0,59337,train
0-2175,0,59337,train
0-2176,0,59337,train
0-2177,0,59337,train
0-2178,0,59337,train
0-2179,0,59337,train
0-2180,0,59337,train
0-2181,0,59337,train
0-2182,0,59337,train
0-2183,0,59337,train
0-2184,0,59337,train
0-2185,0,59337,train
0-2186,0,59337,train
0-2187,0,59337,train
0-2188,0,59337,train
0-2189,0,59337,train
0-2190,0,59337,train
0-2191,0,59337,train
0-2192,0,59337,train
0-2193,0,59337,train
0-2194,0,59337,train
0-2195,0,59337,train
0-2196,0,59337,train
0-2197,0,59337,train
0-2198,0,59337,train
0-2199,0,59337,train
0-2200,0,59337,train
0-2201,0,59337,train
0-2202,0,59337,train
0-2203,0,59337,train
0-2204,0,59337,train
0-2205,0,59337,train
0-2206,0,59337,train
0-2207,0,59337,train
0-2208,0,59337,train
0-2209,0,59337,train
0-2210,0,59337,train
0-2211,0,59337,train
0-2212,0,59337,train
0-2213,0,59337,train
0-2214,0,59337,train
0-2215,0,59337,train
0-2216,0,59337,train
0-2217,0,59337,train
0-2218,0,59337,train
0-2219,0,59337,train
0-2220,0,59337,train
0-2221,0,59337,train
0-2222,0,59337,train
0-2223,0,59337,train
0-2224,0,59337,train
0-2225,0,59337,train
0-2226,0,59337,train
0-2227,0,59337,train
0-2228,0,59337,train
0-2229,0,59337,train
0-2230,0,59337,train
0-2231,0,59337,train
0-2232,0,59337,train
0-2233,0,59337,train
0-2234,0,59337,train
0-2235,0,59337,train
0-2236,0,59337,train
